movieRank,movieName,moviePic,starNum,quoteNum,movieDes
128,贫民窟的百万富翁,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470476887.jpg,8.5,402713人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
129,喜剧之王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1043597424.jpg,8.5,321564人评价,我是一个演员。
130,雨人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg,8.6,213994人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
131,东邪西毒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,8.6,256047人评价,电影诗。
132,记忆碎片,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,8.5,285287人评价,一个针管引发的血案。
133,喜宴,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg,8.8,142761人评价,中国家庭的喜怒哀乐忍。
134,燃情岁月,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg,8.7,150991人评价,传奇，不是每个人都可以拥有。
135,怪兽电力公司,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1805127697.jpg,8.6,246212人评价,不要给它起名字，起了名字就有感情了。
136,疯狂原始人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,8.7,377984人评价,老少皆宜，这就是好莱坞动画的魅力。
137,虎口脱险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,8.9,109054人评价,永远看不腻的喜剧。
138,黑天鹅,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p719282906.jpg,8.5,424991人评价,黑暗之美。
139,卢旺达饭店,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159368352.jpg,8.8,122069人评价,当这个世界闭上双眼，他却敞开了怀抱。
140,英雄本色,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,8.6,168082人评价,英雄泪短，兄弟情长。 
141,恋恋笔记本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,8.5,287803人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
142,猜火车,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg,8.5,252499人评价,不可猜的青春迷笛。 
